rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,City,engagementRate
1,Sakshi Kitchen,92,3.3k,1.3K,8.7m,1.39%,6.5m,29.0b,Pune,3.4
2,Aman Verma,91,6.9k,2.7K,8.3m,1.62%,5.9m,57.4b,Mumbai,2.1
3,Ritu Sharma,90,0.89k,4.5K,6.8m,1.24%,4.4m,6.0b,Delhi,4.8
4,Sneha Foodie,93,1.8k,8.9K,6.2m,0.97%,3.3m,11.5b,Bangalore,1.9
5,Rahul Techie,91,6.8k,11.2K,1.9m,0.20%,665.3k,12.5b,Hyderabad,5.2
6,Neha Kapoor,91,5.6k,15.4K,3.5m,0.88%,2.9m,19.9b,Chennai,2.7
7,Ankit Travels,92,5.0k,19.8K,3.7m,1.20%,3.9m,18.4b,Kolkata,3.9
8,Priya Singh,92,2.0k,22.3K,3.6m,0.76%,2.0m,7.4b,Ahmedabad,4.1
9,Meera Fashion,89,4.1k,26.7K,2.4m,0.35%,926.9k,9.8b,Jaipur,1.5
10,Sunil Food Trails,91,7.4k,30.5K,1.9m,0.59%,1.5m,13.9b,Surat,2.3
11,Shivam Photography,90,0.66k,34.2K,5.5m,2.04%,5.1m,3.7b,Indore,3.6
12,Ankita Creations,91,10.0k,38.9K,302.2k,0.07%,159.3k,3.0b,Bhopal,4.4
13,Ravindra Fitness,90,0.95k,41.2K,329.0k,0.08%,181.8k,313.6m,Coimbatore,2.8
14,Nisha Wanderlust,91,0.53k,47.8K,2.4m,1.01%,2.3m,1.3b,Visakhapatnam,1.7
15,Aditya Codes,89,3.2k,49.9K,1.7m,0.62%,1.4m,5.3b,Nagpur,5.6
16,Megha Beauty,87,1.4k,1.0K,3.5m,0.96%,2.0m,4.9b,Kochi,3.1
17,Arjun Sports,90,6.4k,5.4K,2.1m,0.53%,1.0m,13.5b,Lucknow,2.4
18,Tanvi Lifestyle,89,4.4k,8.7K,1.8m,0.67%,1.3m,7.7b,Chandigarh,4.9
19,Vikas Vlogs,89,1.2k,2.3K,1.3m,0.51%,913.6k,1.6b,Gurugram,1.3
20,Isha Wellness,90,5.3k,6.7K,2.7m,1.09%,1.9m,14.1b,Noida,2.6
21,Karan Stories,92,2.0k,9.1K,715.0k,0.16%,265.1k,1.5b,Varanasi,3.8
22,Pooja Crafts,88,8.2k,14.5K,522.0k,0.08%,115.2k,4.3b,Patna,5.1
23,Rohit Gamer,87,3.5k,18.7K,5.8m,3.17%,4.8m,20.6b,Ranchi,2.2
24,Simran Recipes,75,1.6k,21.9K,3.1m,1.10%,1.5m,5.0b,Raipur,4
25,Deepak Digital,88,0.08k,25.4K,1.1m,0.27%,363.4k,91.3m,Kanpur,1.8
26,Anjali Styles,88,4.8k,29.8K,3.7m,0.02%,0,17.9b,Agra,3.3
27,Manish Explorer,86,2.3k,33.4K,2.1m,0.92%,1.2m,4.9b,Amritsar,2.9
28,Shruti Diaries,87,10.0k,37.1K,420.5k,0.07%,81.7k,4.2b,Ludhiana,4.6
29,Tanya Fitness,90,6.9k,40.9K,996.2k,0.48%,588.3k,6.8b,Jodhpur,5.4
30,Pranav Makeup,85,5.2k,44.3K,1.7m,1.10%,1.3m,9.0b,Udaipur,1.6
31,Manu Travel Blog,86,7.3k,12.0K,463.2k,0.22%,255.9k,3.4b,Gwalior,2.5
32,Rhea Lifestyle,90,10.0k,16.5K,1.2m,0.64%,706.3k,11.6b,Jabalpur,3.7
33,Kajal Designs,73,0.69k,20.9K,8.5m,5.02%,5.2m,5.9b,Nashik,4.3
34,Sameer Music,74,1.3k,24.8K,2.1m,1.26%,1.1m,2.6b,Aurangabad,1.4
35,Arpita Books,85,1.7k,28.7K,1.4m,0.69%,586.5k,2.3b,Thane,5.8
36,Naveen Food Blog,88,1.8k,32.6K,1.4m,0.60%,482.3k,2.5b,Mysuru,2
37,Neel Creative,88,3.6k,36.5K,1.2m,1.53%,1.2m,4.2b,Mangaluru,3
38,Dia Kitchen,85,3.6k,40.4K,1.6m,1.00%,802.9k,5.6b,Vijayawada,4.7
39,Yash Creator,70,0.87k,44.2K,5.8m,9.00%,7.2m,5.1b,Madurai,1.2
40,Kriti Street Style,88,2.0k,48.1K,975.1k,0.41%,304.7k,1.9b,Tirupati,2.9
41,Sahil Adventures,86,10.0k,5.1K,203.7k,0.17%,125.8k,2.0b,Vadodara,3.5
42,Amrita DIY,85,3.3k,8.4K,2.5m,2.56%,1.9m,8.2b,Rajkot,4.2
